year,country,iosCode,flag_url,population,area,landArea,density,growthRate,worldPercentage,rank,netChange
1980,dominica,DM,https://s3.amazonaws.com/images.wpr.com/flags/24/DM.png,72978.0,751.0,750.0,97.3867,0.0042,0.0,204,0.0
1980,cayman islands,KY,https://s3.amazonaws.com/images.wpr.com/flags/24/KY.png,17100.0,264.0,240.0,288.7917,0.0088,0.0,205,0.0
1980,bermuda,BM,https://s3.amazonaws.com/images.wpr.com/flags/24/BM.png,53565.0,54.0,54.0,1186.463,-0.0018,0.0,206,0.0
1980,guernsey,GG,https://s3.amazonaws.com/images.wpr.com/flags/24/GG.png,52860.0,78.0,63.0,1008.6349,0.0038,0.0,207,0.0
1980,greenland,GL,https://s3.amazonaws.com/images.wpr.com/flags/24/GL.png,50106.0,2166086.0,410450.0,0.138,0.0031,0.0,208,0.0
1980,faroe islands,FO,https://s3.amazonaws.com/images.wpr.com/flags/24/FO.png,43054.0,1393.0,1366.0,38.9971,0.0034,0.0,209,0.0
1980,northern mariana islands,MP,https://s3.amazonaws.com/images.wpr.com/flags/24/MP.png,17613.0,464.0,460.0,108.2522,0.0049,0.0,210,0.0
1980,saint kitts and nevis,KN,https://s3.amazonaws.com/images.wpr.com/flags/24/KN.png,43097.0,261.0,260.0,183.6731,0.0021,0.0,211,0.0
1980,turks and caicos islands,TC,https://s3.amazonaws.com/images.wpr.com/flags/24/TC.png,7598.0,948.0,948.0,48.5886,0.0079,0.0,212,0.0
1980,sint maarten,SX,https://s3.amazonaws.com/images.wpr.com/flags/24/SX.png,12243.0,34.0,34.0,1300.6471,0.0011,0.0,213,0.0
1980,american samoa,AS,https://s3.amazonaws.com/images.wpr.com/flags/24/AS.png,32886.0,199.0,200.0,219.57,-0.0081,0.0,214,0.0
1980,marshall islands,MH,https://s3.amazonaws.com/images.wpr.com/flags/24/MH.png,31988.0,181.0,180.0,233.3111,0.0103,0.0,215,0.0
1980,liechtenstein,LI,https://s3.amazonaws.com/images.wpr.com/flags/24/LI.png,25003.0,160.0,160.0,247.4,0.0065,0.0,216,0.0
1980,monaco,MC,https://s3.amazonaws.com/images.wpr.com/flags/24/MC.png,27076.0,2.02,2.0,18148.5,-0.0047,0.0,217,0.0
1980,san marino,SM,https://s3.amazonaws.com/images.wpr.com/flags/24/SM.png,21346.0,61.0,60.0,560.7,-0.0005,0.0,218,0.0
1980,gibraltar,GI,https://s3.amazonaws.com/images.wpr.com/flags/24/GI.png,28734.0,6.8,6.8,4807.0588,0.0012,0.0,219,0.0
1980,saint martin,MF,https://s3.amazonaws.com/images.wpr.com/flags/24/MF.png,7776.0,53.0,50.0,641.54,0.009,0.0,220,0.0
1980,british virgin islands,VG,https://s3.amazonaws.com/images.wpr.com/flags/24/VG.png,11109.0,151.0,150.0,210.2533,0.0074,0.0,221,0.0
1980,palau,PW,https://s3.amazonaws.com/images.wpr.com/flags/24/PW.png,12252.0,459.0,460.0,39.2565,0.0002,0.0,222,0.0
1980,cook islands,CK,https://s3.amazonaws.com/images.wpr.com/flags/24/CK.png,17651.0,240.0,240.0,71.0167,0.0019,0.0,223,0.0
1980,anguilla,AI,https://s3.amazonaws.com/images.wpr.com/flags/24/AI.png,6560.0,91.0,91.0,174.7143,0.0026,0.0,224,0.0
1980,nauru,NR,https://s3.amazonaws.com/images.wpr.com/flags/24/NR.png,7635.0,21.0,20.0,639.0,0.0088,0.0,225,0.0
1980,wallis and futuna,WF,https://s3.amazonaws.com/images.wpr.com/flags/24/WF.png,11315.0,274.0,274.0,41.9781,-0.006,0.0,226,0.0
1980,tuvalu,TV,https://s3.amazonaws.com/images.wpr.com/flags/24/TV.png,7731.0,26.0,30.0,379.8667,0.0074,0.0,227,0.0
